ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;
baileys irish cream;7,83;;ingredient;Baileys Original Irish Cream;https://apps.carboncloud.com/climatehub/product-reports/5011013100156/SWE;;
ground cayenne pepper;0,84;8280;typology;SPICIES;;;
pecorino cheese;9,59;5253;ingredient;PECORINO;;;
butter flavor shortening;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
crumbled blue cheese;9,59;5060;ingredient;CHEESE BLUE-VEINED;;;
pizza dough;0,86;667;ingredient;BREAD;;;
orange sherbet;4,3;1599;typology;ICE CREAM;;;
simple syrup;0,78;1294,5;typology;SUGAR;;;
cherry juice;0,32;1411;ingredient;CHERRY SOUR;;;
vanilla yogurt;1,69;1540;ingredient;YOGURT WHITE;;;
bologna;5,99;6177;typology;PORK CURED MEAT;;;
dry roasted peanut;0,83;2782;ingredient;PEANUT;;;
green apple;0,81;6847;ingredient;APPLES;;;
persimmon;2,15;748;typology;FRUIT;;;
grated orange peel;2,15;748;typology;FRUIT;;;
allspice berry;2,15;748;typology;FRUIT;;;
dried apple;0,81;6847;ingredient;APPLES;;;
frozen peas;0,81;850;ingredient;PEAS (F);;;
raisin bran;0,81;2433;ingredient;RAISINS;;;
graham cracker pie crust;0,98;1258;typology;CRACKERS;;;
instant vanilla pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
quick-cooking oat;2,64;2416;ingredient;OAT FLAKES;;;
sucanat;0,78;1294,5;typology;SUGAR;;;
potato flakes;0,27;1044;ingredient;POTATO FLAKES;;;
hot milk;3,57;1599;ingredient;BUFFALO MILK;;;
tilapia fillet;5,19;2313,5;typology;FISH;;;
dark corn syrup;0,78;1294,5;typology;SUGAR;;;
dark molasses;0,78;1294,5;typology;SUGAR;;;
bread roll;0,86;667;ingredient;BREAD;;;
lime Jell-O gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
A.1. Original Sauce;2,18;;ingredient;BBQ sauce;https://livelca.com/products/bbq-sauce_eff7b39c-b37b-470a-bf6d-116038a7d44b;;
curry leaf;0,84;8280;ingredient;CORIANDER;;;
garlic pepper seasoning;0,84;8280;typology;SPICIES;;;
summer squash;0,33;336;ingredient;SQUASH;;;
bouillon granule;1,75;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;;
pumpkin seeds;0,88;3087,5;typology;SEEDS;;;
lemon-pepper seasoning;0,84;8280;typology;SPICIES;;;
garlic oil;2,11;6792;typology;OIL;;;
Lawrys Seasoned Salt;0,84;8280;typology;SPICIES;;;
season salt;0,84;8280;typology;SPICIES;;;
crushed red pepper;0,84;8280;typology;SPICIES;;;
flax seed oil;2,11;9415;ingredient;LINSEED OIL;;;
red bean;0,43;5053;ingredient;BEAN;;;
minced ginger;0,84;1657;ingredient;GINGER;;;
shaoxing wine;0,66;524;typology;WINE;;;
Chinese five spice powder;0,84;8280;typology;SPICIES;;;
cacao;3,16;15618;ingredient;COCOA POWDER;;;
cranberry juice cocktail;2,86;1019;ingredient;CRANBERRY JUICE (I);;;
baked beans;0,78;555,5;ingredient;BEANS IN CAN;;;
instant lemon pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
dark chocolate chip;3,16;20717;ingredient;DARK CHOCOLATE;;;
chocolate hazelnut spread;1,84;;ingredient;HAZELNUT CREAM;;;
slice white bread;0,89;1031;ingredient;BREAD PLAIN**;;;
chopped date;0,81;2636,5;ingredient;DATE;;;
stout;0,69;155;ingredient;BEER*;;;
pretzel stick;0,98;1258;typology;CRACKERS;;;
chocolate wafer;4,3;;ingredient;CHOCOLATE;;;
dried cherry;0,46;1506,5;ingredient;CHERRY;;;
brown rice flour;0,87;2429;ingredient;RICE FLOUR & MEAL;;;
warm milk;1,44;1599;typology;ANIMAL MILK;;;
soft breadcrumb;0,86;901,8;typology;BREAD;;;
candied cherry;0,46;1506,5;ingredient;CHERRY;;;
gingersnap crumb;1,47;1870,3;typology;BISCUITS;;;
spinach fettuccine;0,34;292;ingredient;SPINACH;;;
Canadian bacon;5,99;6116;ingredient;BACON;;;
cheese spread;8,93;5253;ingredient;CHEESE;;;
wafer crumb;1,35;1423,3;typology;CRISPBREAD;;;
emmenthaler cheese;8,93;5253;ingredient;CHEESE;;;
lime sherbet;4,3;1599;typology;ICE CREAM;;;
lemonade mix;2,86;1019;typology;FRUIT JUICE;;;
vanilla flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
habanero;0,84;8280;typology;SPICIES;;;
Italian breadcrumb;1,35;1423,3;typology;CRISPBREAD;;;
frank;5,99;6177;ingredient;SAUSAGES;;;
bourbon;4,43;;ingredient;John Lee Straight Bourbon Whiskey;https://apps.carboncloud.com/climatehub/product-reports/3012993050501/SWE;;
coffee liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
mixed vegetable;0,81;339;ingredient;MIXED VEGETABLES (F);;;
ham bone;3,44;5677;ingredient;FRESH HAM WITH BONE;;;
red cinnamon candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
green peppercorn;0,84;7611;ingredient;PEPPER (PIPER SPP.);;;
sour mix;0,72;;ingredient;Alcoholic soda;https://livelca.com/products/alcoholic-soda_040e4516-a009-4d22-8dbe-6dab6fdab4df;;
instant potato flakes;0,27;1044;ingredient;POTATO FLAKES;;;
table salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;
potato mix;0,27;1044;ingredient;POTATO FLAKES;;;
cauliflower floret;0,31;285;ingredient;CAULIFLOWER;;;
anaheim chili;0,84;8280;typology;SPICIES;;;
brown;3,16;20717;typology;CHOCOLATE;;;
meatloaf;25,75;15139;ingredient;BEEF BONE FREE MEAT*;;;
serrano chili;0,84;8280;typology;SPICIES;;;
Burgundy wine;0,66;524;typology;WINE;;;
marsala;0,66;524;typology;WINE;;;
sliced green onion;0,22;290;ingredient;ONION;;;
beef consomme;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;
burger;25,75;15139;ingredient;BEEF BONE FREE MEAT*;;;
rum flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
merlot;0,87;524;ingredient;WINE RED;;;
almond syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
vidalia onion;0,22;290;ingredient;ONION;;;
bass;3,6;2313,5;ingredient;SEA-BASS;;;
Baby Spinach;0,34;292;ingredient;SPINACH;;;
minced shallot;0,25;272;ingredient;SHALLOT;;;
gumdrop;0,78;1294,5;typology;SUGAR;;;
colby;5,45;5253;typology;CHEESE FRESH;;;
halloumi cheese;8,93;5253;ingredient;CHEESE;;;
light olive oil;2,11;14726;ingredient;OLIVE OIL REFINED;;;
liquid;0,5;;ingredient;YEAST LIQUID*;;;
fresh tomato;0,45;41;ingredient;TOMATO;;;
Accent seasoning;0,84;8280;typology;SPICIES;;;
brewed coffee;0,55;960;typology;COFFEE LIQUID;;;
spelt flour;0,36;1889,5;ingredient;WHOLE WHEAT FLOUR;;;
hot red pepper flake;0,84;8280;typology;SPICIES;;;
sifted all-purpose flour;0,87;1889,5;typology;GRAIN FLOUR;;;
chili flakes;0,84;8280;typology;SPICIES;;;
instant coffee granules;0,55;960;ingredient;COFFEE SOLUBLE POWDER (L);;;
slivered almonds;1,88;11264;ingredient;ALMOND;;;
light molasses;0,78;1294,5;typology;SUGAR;;;
pastry dough;2,14;1640;ingredient;CAKES AND CROISSANT**;;;
cremini mushroom;2,06;;ingredient;MUSHROOM*;;;
pinch salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;
mung bean;1,32;2523;ingredient;MUNG BEAN FLOUR;;;
frozen green pea;0,45;1979;ingredient;PEA;;;
Rotel tomato;0,45;41;ingredient;TOMATO;;;
chocolate powder;3,16;15618;ingredient;COCOA POWDER;;;
chopped garlic;0,25;589;ingredient;GARLIC;;;
celeriac;0,33;362;ingredient;CELERY;;;
lime Jell-O;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
candied ginger;0,84;1657;ingredient;GINGER;;;
crab meat;7,04;1974;ingredient;CRUSTACEAN;;;
lump crabmeat;7,04;1974;ingredient;CRUSTACEAN;;;
spaghettini;1,21;1508;ingredient;PASTA*;;;
fresh basil leaf;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;
chicken tenderloin;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;
tapioca starch;0,27;2818;ingredient;TAPIOCA OF CASSAVA;;;
mashed ripe banana;0,34;748;ingredient;BANANA;;;
coconut flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
plain breadcrumb;0,86;901,8;typology;BREAD;;;
chocolate pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
dash salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;
rigatoni pasta;1,21;1508;ingredient;PASTA*;;;
French onion dip;0,22;290;ingredient;ONION;;;
deli ham;7,95;6177;ingredient;PORK HAM;;;
grated romano cheese;9,59;5060;ingredient;CHEESE GRATED;;;
dried onion flake;0,22;290;ingredient;ONION;;;
mango nectar;2,86;1019;ingredient;MANGO JUICE (I);;;
strawberry syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
kiwi fruit;0,49;514;ingredient;KIWI;;;
currant jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
Italian dressing;1,46;572;typology;DRESSING;;;
potato flour;0,87;1849;ingredient;WHEAT FLOUR;;;
mung bean sprout;0,52;555,5;typology;LEGUMES FRESH;;;
black tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
rabbit;4,31;;ingredient;RABBIT MEAT WITH BONE*;;;
soya;0,56;4615;ingredient;SOYBEAN;;;
cinnamon-sugar mixture;0,84;15526;ingredient;CINNAMON;;;
star fruit;1,07;748;ingredient;EXOTIC FRUIT (I);;;
cashews;1,38;11264;ingredient;CASHEW NUT;;;
peach jam;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
Thai basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;
grainy mustard;0,88;2809;ingredient;MUSTARD SEED;;;
tarragon vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
thickened cream;5,45;3838;ingredient;CREAM;;;
baby spinach leaf;0,34;292;ingredient;SPINACH;;;
packed dark brown sugar;0,78;1294,5;typology;SUGAR;;;
freshly grated nutmeg;0,84;34319;ingredient;NUTMEG;;;
pork shoulder;3,44;4361;ingredient;PORK MEAT WITH BONE*;;;
mixed salad green;1,18;336;typology;VEGETABLES;;;
anisette;0,84;8280;ingredient;ANISE;;;
Minute Rice;2,19;1597;ingredient;RICE*;;;
licorice;2,404;;ingredient;Licorice;https://livelca.com/products/licorice_1f6c12ee-67d2-4231-a385-abc07647ee53;;
grated onion;0,22;290;ingredient;ONION;;;
black walnut;2,06;11264;ingredient;WALNUT;;;
cajun spice;0,84;8280;typology;SPICIES;;;
portabella mushroom;2,06;;ingredient;MUSHROOM*;;;
scotch bonnet pepper;0,65;379;ingredient;PEPPER;;;
lemon yogurt;2,55;1540;typology;YOGURT;;;
instant minced onion;0,22;290;ingredient;ONION;;;
amaretto liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
picante sauce;0,84;8280;typology;SPICIES;;;
Italian bread;0,86;667;ingredient;BREAD;;;
dark beer;0,69;155;ingredient;BEER*;;;
large shrimp;7,04;1856;ingredient;PRAWNS/SHRIMPS;;;
slice bread;0,86;667;ingredient;BREAD;;;
green onions;0,22;290;ingredient;ONION;;;
agave syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
cracked pepper;0,65;379;ingredient;PEPPER;;;
Cool Whip Topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
pear juice;0,48;1019;ingredient;PEAR JUICE;;;
toasted coconut;1,07;1971;ingredient;COCONUT (I);;;
Franks red hot sauce;0,84;8280;typology;SPICIES;;;
whole berry cranberry sauce;0,64;276;ingredient;CRANBERRY;;;
sliced mushroom;2,06;;ingredient;MUSHROOM*;;;
hot chocolate powder;3,16;15618;ingredient;COCOA POWDER;;;
white chocolate chips;3,16;20717;typology;CHOCOLATE;;;
chocolate milk mix;3,16;20717;typology;CHOCOLATE;;;
crushed garlic;0,25;589;ingredient;GARLIC;;;
peppermint candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
biscotti;1,47;1870,3;typology;BISCUITS;;;
boneless chicken breast;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;
peach pie filling;0,39;910;ingredient;PEACH;;;
sorghum;0,57;3048;ingredient;SORGHUM;;;
chocolate shaving;4,3;;ingredient;CHOCOLATE;;;
frozen apple juice concentrate;2,86;1140;ingredient;APPLE JUICE (I);;;
strong coffee;0,55;960;ingredient;COFFEE STRONG;;;
cooked ham;5,99;5798;ingredient;CURED HAM WITH BONE;;;
chopped apple;0,81;6847;ingredient;APPLES;;;
Corn Chex;2,64;2196,5;typology;BREAKFAST CEREALS;;;
risotto rice;2,19;1597;ingredient;RICE*;;;
chopped green chili;0,65;379;ingredient;PEPPER;;;
M&Ms plain chocolate candy;4,3;;ingredient;CHOCOLATE;;;
lemon flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
coffee powder;0,55;960;ingredient;COFFEE SOLUBLE POWDER (L);;;
chocolate curl;4,3;;ingredient;CHOCOLATE;;;
bread crumbs;0,86;901,8;typology;BREAD;;;
cone;4,52;;ingredient;ICE CREAM CONE;https://apps.carboncloud.com/climatehub/product-reports/047677071155/USA;;
bailey irish cream;5,45;3838;ingredient;CREAM;;;
pollock;5,19;2313,5;ingredient;POLLOCK;;;
slice bacon;5,99;6116;ingredient;BACON;;;
grits;0,87;2429;ingredient;RICE FLOUR & MEAL;;;
shredded monterey jack cheese;9,59;5060;ingredient;CHEESE GRATED;;;
lobster tail;20,25;1856;ingredient;LOBSTER;;;
lime gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
vanilla syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
ginger beer;0,84;1657;ingredient;GINGER;;;
strawberry gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
lemon gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
red currant jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
salad greens;0,41;237;ingredient;LETTUCE;;;
ham steak;7,95;6177;ingredient;PORK HAM;;;
barley flour;0,48;1423;ingredient;BARLEY;;;
quart;4,3;1599;TOO_GENERIC;TOO_GENERIC;;"Refers to ice creams but also wate; Should be fixed";
Kool-Aid;10,8;;ingredient;KOOL-AID, SINGLES, DRINK MIX, ORANGE, ORANGE;https://apps.carboncloud.com/climatehub/product-reports/id/1089689554363;;
frozen orange juice;0,46;1019;ingredient;ORANGE JUICE;;;
lamb loin chop;16,7;4362;ingredient;LAMB MEAT WITH BONE*;;;
mango puree;0,31;1855;ingredient;MANGO;;;
white peppercorn;0,84;7611;ingredient;PEPPER (PIPER SPP.);;;
focaccia;0,86;901,8;typology;BREAD;;;
frozen raspberry;1,18;748;ingredient;RASPBERRIES (F)*;;;
canning salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;
ginger syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
peach preserve;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
melon liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
Italian salad dressing;1,46;572;typology;DRESSING;;;
frankfurter;5,99;6177;ingredient;SAUSAGES;;;
orange drink mix;0,46;1019;ingredient;ORANGE JUICE;;;
brown mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
Guinness stout;0,69;155;ingredient;BEER*;;;
sweet paprika;0,84;8280;typology;SPICIES;;;
parsley leaf;0,84;8280;ingredient;CORIANDER;;;
old fashioned oats;2,64;2196,5;typology;BREAKFAST CEREALS;;;
celery stalk;0,33;362;ingredient;CELERY;;;
aminos;5,33;;ingredient;Amino acids;https://apps.carboncloud.com/climatehub/product-reports/id/3462679691924;;
vegetable bouillon cube;1,75;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;;
sliced peach;0,39;910;ingredient;PEACH;;;
Cool Whip Lite;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
chicken rice-a-roni;2,19;1597;ingredient;RICE*;;;
jellied cranberry sauce;0,64;276;ingredient;CRANBERRY;;;
dried red pepper flake;0,84;8280;typology;SPICIES;;;
skim milk powder;15,8;;ingredient;Whole milk powder, 95% DM;https://apps.carboncloud.com/climatehub/product-reports/id/170300964422;;
sweetened coconut;1,07;1971;ingredient;COCONUT (I);;;
dry crushed red pepper;0,84;8280;typology;SPICIES;;;
garbanzo;0,52;555,5;typology;LEGUMES;;;
millet flour;0,87;1889,5;ingredient;MILLET FLOUR;;;
red capsicum;0,65;379;ingredient;PEPPER;;;
fennel leaf;0,33;362;ingredient;FENNEL;;;
cooked brown rice;0,57;2230;ingredient;RICE GROATS;;;
Thai red curry paste;0,84;8280;typology;SPICIES;;;
chopped fresh basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;
ripe tomato;0,45;41;ingredient;TOMATO;;;
large carrot;0,24;195;ingredient;CARROT;;;
duck leg;2,13;3330,3;ingredient;DUCK MEAT WITH BONE*;;;
fresh mint;0,84;288;ingredient;PEPPERMINT;;;
seasoned rice vinegar;0,84;8280;typology;SPICIES;;;
chopped peanuts;0,83;2782;ingredient;PEANUT;;;
chopped almonds;1,88;11264;ingredient;ALMOND;;;
chicken bouillon granule;36,8;;ingredient;BOUILLON CUBES, CHICKEN;https://apps.carboncloud.com/climatehub/product-reports/032251100482/USA;;
onion ring;0,22;290;ingredient;ONION;;;
kernel;0,48;1191;ingredient;MAIZE;;;
smoked ham;7,95;6177;ingredient;PORK HAM;;;
granulated garlic;0,84;2265;ingredient;GARLIC POWDER;;;
turbinado sugar;0,78;1294,5;typology;SUGAR;;;
onion juice;0,22;290;ingredient;ONION;;;
raspberry juice;2,86;1019;ingredient;CRANBERRY JUICE (I);;;
frozen whipped topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
dark red kidney bean;0,52;4615;typology;LEGUMES DRIED;;;
goose;3,88;4325;ingredient;GOOSE BONE FREE MEAT;;;
rotini pasta;1,21;1508;ingredient;PASTA*;;;
chocolate milk;3,16;20717;ingredient;MILK CHOCOLATE;;;
candy sprinkle;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
M&Ms;3,16;20717;ingredient;MILK CHOCOLATE;;;
candy coating;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
herb seasoning;0,84;8280;typology;SPICIES;;;
salmon steak;3,37;2193;ingredient;SALMON;;;
dried currant;0,64;499;ingredient;CURRANT;;;
shallots;0,25;272;ingredient;SHALLOT;;;
chocolate drink mix;4,3;;ingredient;CHOCOLATE;;;
apricots;0,3;1287;ingredient;APRICOT;;;
dry breadcrumbs;0,86;901,8;typology;BREAD;;;
chocolate candy bar;9,63;;ingredient;SNICKERS, CANDY BAR;https://apps.carboncloud.com/climatehub/product-reports/040000499039/USA;Snickers used as proxy for chocolate candy bars;
dill pickle;1,18;336;typology;VEGETABLES;;;
rings;;;TOO_GENERIC;TOO_GENERIC;;Rings of some vegetables;
fish stock;2,12;2313,5;typology;FISH PROCESSED;;;
chicken cutlet;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;
pork cutlet;3,44;5798;ingredient;PORK CUTS WITH BONE;;;
chicken drummette;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;
focaccia bread;0,86;667;ingredient;BREAD;;;
salted peanuts;0,83;2782;ingredient;PEANUT;;;
bouillon powder;1,75;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;;
Cheerios;2,64;2196,5;typology;BREAKFAST CEREALS;;;
puffed rice cereal;2,64;2196,5;typology;BREAKFAST CEREALS;;;
Italian seasoned breadcrumb;1,35;1423,3;typology;CRISPBREAD;;;
shredded parmesan cheese;9,59;5060;ingredient;CHEESE GRATED;;;
caramel candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
Dream Whip;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
toffee bit;2,74;;ingredient;Toffees;https://livelca.com/products/toffees_b0dee6db-9d0d-46c2-bcf1-34eeabfbebc5;;
candied pineapple;0,55;255;ingredient;PINEAPPLE (I);;;
sifted cake flour;0,87;1849;ingredient;WHEAT FLOUR;;;
fraiche;5,45;5253;typology;CHEESE FRESH;;;
plain breadcrumbs;0,86;901,8;typology;BREAD;;;
miniature chocolate chip;4,3;;ingredient;CHOCOLATE;;;
chocolate piece;4,3;;ingredient;CHOCOLATE;;;
semisweet chocolate morsel;4,3;;ingredient;CHOCOLATE;;;
smoked gouda cheese;8,93;5253;ingredient;CHEESE;;;
lemon pie filling;0,34;642;ingredient;LEMON;;;
amarula;2,15;748;typology;FRUIT;;;
amarula cream liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
corn chip;1,35;1423,3;typology;CRISPBREAD;;;
fries;0,24;555;ingredient;POTATO;;;
octopus;5,8;1856;ingredient;OCTOPUS;;;
Rice-A-Roni;2,19;1597;ingredient;RICE*;;;
chevre;8,93;5253;ingredient;CHEESE;;;
dry buttermilk;1,44;1599;ingredient;BUTTERED MILK;;;
shredded sharp cheddar cheese;9,59;5060;ingredient;CHEESE GRATED;;;
cheese soup;8,93;5253;ingredient;CHEESE;;;
butter flavor extract;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
blend cheese;8,93;5253;ingredient;CHEESE;;;
havarti cheese;8,93;5253;ingredient;CHEESE;;;
pecorino;9,59;5253;ingredient;PECORINO;;;
box powdered sugar;0,78;1294,5;typology;SUGAR;;;
chevre cheese;9,59;5253;ingredient;GOAT CHEESE;;;
french fry;0,24;555;ingredient;POTATO;;;
seafood cocktail sauce;1,46;572;ingredient;MAYONNAISE;;;
seltzer water;0,49;;ingredient;MINERAL WATER*;;;
frozen lemonade concentrate;2,86;1019;typology;FRUIT JUICE;;;
sugar cube;0,78;1294,5;typology;SUGAR;;;
papaya nectar;0,32;460;ingredient;PAPAYA;;;
mandarin oranges;2,15;748;typology;FRUIT;;;
raspberry gelatin powder;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
cherry syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
mixed dried fruit;0,81;2636,5;typology;DRIED FRUIT;;;
crabapple;1,18;336;typology;VEGETABLES;;;
canned pumpkin puree;0,24;336;ingredient;PUMPKIN;;;
key lime;0,34;642;ingredient;LIME;;;
fresh blueberry;0,78;845;ingredient;BLUEBERRY;;;
French onion soup;0,22;290;ingredient;ONION;;;
leaf lettuce;0,41;237;ingredient;LETTUCE;;;
peach preserves;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
frozen lemonade;0,34;642;ingredient;LEMON;;;
coconut water;2,86;1019;typology;FRUIT JUICE;;;
frozen mixed vegetable;0,81;339;ingredient;MIXED VEGETABLES (F);;;
cinnamon syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
